,Average wrong decisions,Proportion of failed instances (w=1),Proportion of failed instances (w=0.1),Proportion of failed instances (w=0.08),Proportion of failed instances (w=0.05),Test round failure rate
0.01,0.2974,0.0,0.0,0.0,0.0,0.0055000000000000005
0.05,0.31029999999999996,0.0,0.0,0.0,0.0,0.0241
0.08,0.3230000000000001,0.0,0.0,0.0,0.0,0.0403
0.11,0.3391999999999998,0.01,0.010869565217391304,0.014285714285714285,0.0,0.0593
0.15,0.35789999999999994,0.0,0.0,0.0,0.0,0.0729
0.2,0.37749999999999995,0.03,0.02127659574468085,0.047619047619047616,,0.1003
0.25,0.39399999999999996,0.05,0.05,0.0,,0.1258
0.3,0.4128999999999998,0.05,0.3333333333333333,0.0,,0.1495
0.35,0.44710000000000016,0.2,0.0,0.0,,0.1744
0.4,0.45970000000000005,0.2,,,,0.19870000000000002
0.5,0.49750000000000005,0.49,,,,0.253
0.55,0.5253000000000001,0.65,,,,0.27949999999999997
0.6,0.5405,0.78,,,,0.29350000000000004
0.65,0.5623000000000002,0.87,,,,0.3247
0.7,0.591,0.95,,,,0.35119999999999996
0.8,0.6275999999999999,0.98,,,,0.4042
0.9,0.665,0.99,,,,0.4515
1.0,0.7124999999999999,1.0,,,,0.5091
