,Sampling p(meas = 1),# wrong decisions p0.01,# wrong decisions p0.05,# wrong decisions p0.08,# wrong decisions p0.11,# wrong decisions p0.15,# wrong decisions p0.2,# wrong decisions p0.3,# wrong decisions p0.4,# wrong decisions p0.5,# wrong decisions p0.6,# wrong decisions p0.7,# wrong decisions p0.8,# wrong decisions p0.9,# wrong decisions p1.0
circuit345.qasm,0.6888404130879198,0.4,0.37,0.32,0.33,0.4,0.36,0.5,0.49,0.54,0.42,0.58,0.71,0.67,0.67
circuit526.qasm,0.07322330470336391,0.36,0.42,0.35,0.36,0.41,0.51,0.38,0.43,0.49,0.44,0.61,0.51,0.56,0.55
circuit340.qasm,0.31250000000000044,0.3,0.25,0.29,0.3,0.37,0.4,0.38,0.55,0.46,0.52,0.71,0.65,0.79,0.76
circuit326.qasm,0.34958555994371154,0.37,0.34,0.36,0.35,0.42,0.41,0.46,0.57,0.44,0.55,0.61,0.68,0.55,0.68
circuit703.qasm,0.827665042944955,0.16,0.15,0.14,0.14,0.19,0.3,0.36,0.39,0.43,0.57,0.7,0.84,0.84,0.93
circuit425.qasm,0.25000000000000044,0.21,0.28,0.29,0.28,0.36,0.35,0.34,0.49,0.45,0.59,0.63,0.59,0.71,0.78
circuit126.qasm,0.6993813693763383,0.26,0.35,0.35,0.41,0.41,0.37,0.46,0.46,0.61,0.54,0.59,0.55,0.52,0.69
circuit772.qasm,0.1464466094067267,0.16,0.19,0.23,0.21,0.2,0.24,0.38,0.45,0.48,0.62,0.71,0.77,0.81,0.8
circuit454.qasm,0.9305679560328751,0.29,0.35,0.35,0.36,0.41,0.45,0.46,0.45,0.38,0.49,0.58,0.56,0.58,0.63
circuit393.qasm,0.7461413801125765,0.26,0.38,0.29,0.45,0.46,0.4,0.37,0.38,0.5,0.6,0.62,0.54,0.65,0.62
circuit529.qasm,0.6584708691207957,0.21,0.26,0.25,0.29,0.27,0.36,0.39,0.47,0.51,0.51,0.6,0.72,0.73,0.84
circuit733.qasm,0.12500000000000056,0.23,0.27,0.26,0.31,0.32,0.37,0.38,0.41,0.43,0.54,0.62,0.63,0.66,0.66
circuit134.qasm,0.28488952738362483,0.29,0.34,0.32,0.44,0.39,0.35,0.36,0.45,0.51,0.57,0.56,0.61,0.64,0.61
circuit181.qasm,0.8535533905932733,0.4,0.47,0.43,0.48,0.41,0.39,0.4,0.42,0.34,0.59,0.48,0.56,0.58,0.55
circuit483.qasm,0.27458161413599064,0.29,0.29,0.29,0.31,0.4,0.43,0.39,0.31,0.53,0.63,0.59,0.6,0.57,0.76
circuit985.qasm,0.7651650429449547,0.3,0.48,0.36,0.47,0.41,0.48,0.48,0.54,0.49,0.49,0.65,0.6,0.6,0.55
circuit944.qasm,0.3400211661552938,0.2,0.22,0.22,0.2,0.3,0.27,0.4,0.36,0.65,0.62,0.67,0.76,0.79,0.82
circuit998.qasm,0.3719265759202986,0.36,0.43,0.31,0.38,0.4,0.4,0.41,0.44,0.49,0.43,0.53,0.54,0.62,0.72
circuit287.qasm,0.7156765759202981,0.4,0.32,0.41,0.39,0.43,0.42,0.51,0.39,0.56,0.49,0.67,0.64,0.57,0.67
circuit148.qasm,0.20312500000000072,0.32,0.46,0.38,0.35,0.36,0.37,0.41,0.62,0.54,0.41,0.54,0.61,0.58,0.71
circuit119.qasm,0.2919733047033635,0.34,0.4,0.35,0.38,0.34,0.48,0.37,0.48,0.53,0.49,0.6,0.61,0.63,0.71
circuit510.qasm,0.31138956543960217,0.23,0.36,0.26,0.38,0.36,0.32,0.41,0.48,0.42,0.51,0.7,0.65,0.75,0.71
circuit224.qasm,0.294424152351682,0.39,0.45,0.32,0.34,0.4,0.36,0.5,0.44,0.56,0.44,0.58,0.53,0.65,0.7
circuit608.qasm,0.3803616523516819,0.38,0.34,0.46,0.5,0.49,0.48,0.44,0.46,0.5,0.54,0.56,0.59,0.63,0.6
circuit009.qasm,0.1982233047033637,0.4,0.41,0.33,0.42,0.41,0.44,0.42,0.5,0.48,0.45,0.56,0.52,0.63,0.72
circuit971.qasm,0.25000000000000067,0.48,0.37,0.32,0.44,0.46,0.47,0.4,0.39,0.53,0.57,0.56,0.66,0.54,0.6
circuit890.qasm,0.7842560649285166,0.43,0.36,0.44,0.35,0.42,0.43,0.39,0.5,0.43,0.51,0.63,0.66,0.61,0.66
circuit306.qasm,0.6375515759202983,0.39,0.38,0.38,0.38,0.44,0.43,0.43,0.57,0.58,0.53,0.55,0.53,0.62,0.7
circuit726.qasm,0.3346307664876721,0.33,0.2,0.39,0.35,0.42,0.4,0.48,0.46,0.52,0.5,0.61,0.55,0.66,0.72
circuit697.qasm,0.3232233047033636,0.1,0.14,0.19,0.16,0.28,0.24,0.34,0.42,0.44,0.49,0.69,0.66,0.77,0.83
circuit741.qasm,0.15291869631880656,0.33,0.32,0.27,0.37,0.41,0.38,0.44,0.46,0.54,0.51,0.57,0.56,0.62,0.69
circuit155.qasm,0.6182099487954539,0.18,0.18,0.23,0.31,0.22,0.33,0.35,0.41,0.54,0.53,0.74,0.66,0.76,0.86
circuit601.qasm,0.7133883476483176,0.24,0.34,0.29,0.33,0.41,0.27,0.39,0.43,0.55,0.69,0.56,0.66,0.75,0.77
circuit004.qasm,0.6767766952966366,0.46,0.48,0.26,0.42,0.43,0.42,0.46,0.48,0.64,0.54,0.51,0.49,0.63,0.58
circuit640.qasm,0.6271216981404102,0.1,0.16,0.16,0.29,0.25,0.29,0.35,0.47,0.6,0.6,0.68,0.71,0.78,0.93
circuit869.qasm,0.6767766952966365,0.37,0.42,0.46,0.43,0.42,0.41,0.45,0.51,0.51,0.5,0.62,0.6,0.65,0.5
circuit321.qasm,0.6194757282719799,0.36,0.39,0.46,0.36,0.33,0.47,0.48,0.49,0.54,0.53,0.6,0.55,0.55,0.69
circuit339.qasm,0.10983495705504537,0.34,0.39,0.34,0.35,0.38,0.35,0.47,0.44,0.53,0.54,0.57,0.59,0.62,0.65
circuit197.qasm,0.7180222988241589,0.37,0.36,0.41,0.45,0.46,0.38,0.4,0.5,0.52,0.52,0.43,0.51,0.57,0.61
circuit212.qasm,0.7163492924096972,0.34,0.32,0.38,0.35,0.43,0.38,0.47,0.48,0.5,0.51,0.58,0.68,0.64,0.63
circuit824.qasm,0.25000000000000067,0.23,0.35,0.41,0.27,0.34,0.39,0.47,0.43,0.46,0.43,0.48,0.55,0.56,0.69
circuit417.qasm,0.6118258476483184,0.33,0.34,0.44,0.42,0.46,0.52,0.45,0.52,0.46,0.51,0.48,0.68,0.63,0.72
circuit871.qasm,0.6767766952966368,0.36,0.28,0.31,0.29,0.23,0.31,0.51,0.49,0.44,0.46,0.52,0.52,0.77,0.73
circuit718.qasm,0.3415291308792039,0.22,0.15,0.21,0.28,0.28,0.23,0.35,0.41,0.46,0.61,0.72,0.68,0.71,0.86
circuit499.qasm,0.9523398041922779,0.25,0.3,0.4,0.36,0.36,0.29,0.4,0.45,0.59,0.54,0.62,0.68,0.73,0.73
