,Sampling p(meas = 1)
circuit000.qasm,0.34492779371158216
circuit001.qasm,0.6131662607362388
circuit003.qasm,0.7499999999999994
circuit004.qasm,0.6767766952966366
circuit006.qasm,0.9176237822087159
circuit009.qasm,0.1982233047033637
circuit011.qasm,0.6249999999999999
circuit017.qasm,0.17233495705504537
circuit018.qasm,0.35747936963188054
circuit022.qasm,0.32322330470336336
circuit026.qasm,0.190640783230886
circuit030.qasm,0.25000000000000044
circuit037.qasm,0.28661165235168196
circuit038.qasm,0.3943831319696847
circuit039.qasm,0.3071383476483189
circuit044.qasm,0.3996152937115823
circuit045.qasm,0.15280370705504515
circuit049.qasm,0.3383883476483188
circuit050.qasm,0.3857233047033629
circuit055.qasm,0.36741747852752255
circuit056.qasm,0.6379441738241589
circuit059.qasm,0.7499999999999996
circuit060.qasm,0.3416917502555425
circuit064.qasm,0.38281250000000017
circuit067.qasm,0.6010072827198008
circuit070.qasm,0.6075050033032217
circuit071.qasm,0.33126578323088574
circuit072.qasm,0.3750000000000003
circuit073.qasm,0.3232233047033634
circuit075.qasm,0.12500000000000078
circuit077.qasm,0.32322330470336325
circuit078.qasm,0.8383883476483178
circuit080.qasm,0.7354854345603978
circuit082.qasm,0.6006146848159402
circuit083.qasm,0.12500000000000078
circuit088.qasm,0.620053739104047
circuit089.qasm,0.6249999999999998
circuit093.qasm,0.33214623926376163
circuit094.qasm,0.38415291308792077
circuit095.qasm,0.669194173824159
circuit097.qasm,0.375
circuit098.qasm,0.6369963586400991
circuit099.qasm,0.2866116523516816
circuit101.qasm,0.8276650429449548
circuit103.qasm,0.2683058261758413
circuit105.qasm,0.6186092227760895
circuit111.qasm,0.3102791308792041
circuit114.qasm,0.7499999999999997
circuit119.qasm,0.2919733047033635
circuit121.qasm,0.3887293696318808
circuit122.qasm,0.6421280324642584
circuit123.qasm,0.6319291547163131
circuit125.qasm,0.1418701528627665
circuit127.qasm,0.3630001537256544
circuit132.qasm,0.7042354345603976
circuit133.qasm,0.9095673531442079
circuit134.qasm,0.28488952738362483
circuit135.qasm,0.3705385327198012
circuit136.qasm,0.713388347648318
circuit137.qasm,0.24463834764831893
circuit145.qasm,0.6249999999999997
circuit147.qasm,0.908470869120795
circuit148.qasm,0.20312500000000072
circuit150.qasm,0.6142766952966366
circuit151.qasm,0.9267766952966365
circuit152.qasm,0.7392766952966366
circuit154.qasm,0.6950825214724776
circuit155.qasm,0.6182099487954539
circuit161.qasm,0.658293365334277
circuit164.qasm,0.9374999999999993
circuit165.qasm,0.6169575214724774
circuit166.qasm,0.2645145654396024
circuit172.qasm,0.6691941738241587
circuit173.qasm,0.28661165235168196
circuit174.qasm,0.9267766952966361
circuit178.qasm,0.3167512177912839
circuit180.qasm,0.6127736628323779
circuit181.qasm,0.8535533905932733
circuit182.qasm,0.6066941738241588
circuit186.qasm,0.2591529130879206
circuit191.qasm,0.6874999999999998
circuit197.qasm,0.7180222988241589
circuit200.qasm,0.6639236956799499
circuit201.qasm,0.7271177172801987
circuit202.qasm,0.2995558261758411
circuit210.qasm,0.6483225107362383
circuit212.qasm,0.7163492924096972
circuit214.qasm,0.3986674785275226
circuit215.qasm,0.853553390593273
circuit216.qasm,0.8535533905932731
circuit224.qasm,0.294424152351682
circuit231.qasm,0.39330582617584103
circuit232.qasm,0.3777621358640101
circuit234.qasm,0.6727891356084676
circuit237.qasm,0.7567496955521787
circuit240.qasm,0.3719602554958907
circuit241.qasm,0.1288684844067267
circuit242.qasm,0.7196978151840594
circuit243.qasm,0.6249999999999997
circuit244.qasm,0.24777913087920445
