,Sampling p(meas = 1),# wrong decisions p0.1,# wrong decisions p0.2,# wrong decisions p0.3,# wrong decisions p0.4
circuit000.qasm,0.34492779371158216,0.31,0.45,0.4,0.45
circuit001.qasm,0.6131662607362388,0.43,0.38,0.43,0.33
circuit003.qasm,0.7499999999999994,0.33,0.34,0.27,0.43
circuit004.qasm,0.6767766952966366,0.37,0.42,0.49,0.35
circuit006.qasm,0.9176237822087159,0.15,0.15,0.22,0.33
circuit009.qasm,0.1982233047033637,0.25,0.25,0.4,0.33
circuit011.qasm,0.6249999999999999,0.39,0.37,0.48,0.33
circuit017.qasm,0.17233495705504537,0.18,0.25,0.31,0.32
circuit018.qasm,0.35747936963188054,0.36,0.31,0.44,0.41
circuit022.qasm,0.32322330470336336,0.32,0.48,0.39,0.41
circuit026.qasm,0.190640783230886,0.23,0.24,0.29,0.26
circuit030.qasm,0.25000000000000044,0.25,0.29,0.34,0.37
circuit037.qasm,0.28661165235168196,0.32,0.27,0.36,0.43
circuit038.qasm,0.3943831319696847,0.37,0.38,0.53,0.34
circuit039.qasm,0.3071383476483189,0.27,0.42,0.33,0.39
circuit044.qasm,0.3996152937115823,0.3,0.51,0.41,0.54
circuit045.qasm,0.15280370705504515,0.22,0.2,0.21,0.32
circuit049.qasm,0.3383883476483188,0.41,0.4,0.4,0.5
circuit050.qasm,0.3857233047033629,0.32,0.43,0.36,0.48
circuit055.qasm,0.36741747852752255,0.35,0.48,0.37,0.42
circuit056.qasm,0.6379441738241589,0.39,0.39,0.42,0.45
circuit059.qasm,0.7499999999999996,0.31,0.35,0.37,0.32
circuit060.qasm,0.3416917502555425,0.44,0.36,0.47,0.36
circuit064.qasm,0.38281250000000017,0.45,0.39,0.43,0.45
circuit067.qasm,0.6010072827198008,0.42,0.29,0.39,0.42
circuit070.qasm,0.6075050033032217,0.34,0.35,0.42,0.47
circuit071.qasm,0.33126578323088574,0.34,0.39,0.37,0.4
circuit072.qasm,0.3750000000000003,0.44,0.36,0.4,0.43
circuit073.qasm,0.3232233047033634,0.33,0.31,0.4,0.43
circuit075.qasm,0.12500000000000078,0.13,0.21,0.23,0.26
circuit077.qasm,0.32322330470336325,0.37,0.29,0.38,0.44
circuit078.qasm,0.8383883476483178,0.16,0.2,0.24,0.28
circuit080.qasm,0.7354854345603978,0.31,0.35,0.3,0.38
circuit082.qasm,0.6006146848159402,0.41,0.4,0.44,0.47
circuit083.qasm,0.12500000000000078,0.17,0.19,0.25,0.21
circuit088.qasm,0.620053739104047,0.37,0.43,0.42,0.42
circuit089.qasm,0.6249999999999998,0.46,0.38,0.35,0.48
circuit093.qasm,0.33214623926376163,0.35,0.32,0.44,0.48
circuit094.qasm,0.38415291308792077,0.34,0.41,0.31,0.37
circuit095.qasm,0.669194173824159,0.28,0.41,0.38,0.44
circuit097.qasm,0.375,0.39,0.45,0.37,0.35
circuit098.qasm,0.6369963586400991,0.4,0.32,0.39,0.42
circuit099.qasm,0.2866116523516816,0.35,0.25,0.29,0.37
circuit101.qasm,0.8276650429449548,0.22,0.23,0.32,0.3
circuit103.qasm,0.2683058261758413,0.26,0.37,0.4,0.36
circuit105.qasm,0.6186092227760895,0.51,0.35,0.43,0.42
circuit111.qasm,0.3102791308792041,0.37,0.32,0.33,0.3
circuit114.qasm,0.7499999999999997,0.31,0.31,0.35,0.32
circuit119.qasm,0.2919733047033635,0.27,0.37,0.31,0.4
circuit121.qasm,0.3887293696318808,0.38,0.5,0.36,0.4
circuit122.qasm,0.6421280324642584,0.35,0.36,0.36,0.35
circuit123.qasm,0.6319291547163131,0.34,0.49,0.39,0.52
circuit125.qasm,0.1418701528627665,0.13,0.25,0.27,0.33
circuit127.qasm,0.3630001537256544,0.32,0.42,0.45,0.44
circuit132.qasm,0.7042354345603976,0.31,0.36,0.31,0.36
circuit133.qasm,0.9095673531442079,0.15,0.18,0.16,0.23
circuit134.qasm,0.28488952738362483,0.33,0.33,0.37,0.41
circuit135.qasm,0.3705385327198012,0.38,0.44,0.36,0.44
circuit136.qasm,0.713388347648318,0.36,0.35,0.28,0.37
circuit137.qasm,0.24463834764831893,0.31,0.24,0.39,0.35
circuit145.qasm,0.6249999999999997,0.43,0.39,0.47,0.46
circuit147.qasm,0.908470869120795,0.17,0.19,0.22,0.33
circuit148.qasm,0.20312500000000072,0.3,0.25,0.28,0.32
circuit150.qasm,0.6142766952966366,0.44,0.41,0.43,0.49
circuit151.qasm,0.9267766952966365,0.09,0.18,0.2,0.23
circuit152.qasm,0.7392766952966366,0.28,0.27,0.38,0.34
circuit154.qasm,0.6950825214724776,0.31,0.36,0.32,0.46
circuit155.qasm,0.6182099487954539,0.38,0.4,0.44,0.34
circuit161.qasm,0.658293365334277,0.29,0.35,0.37,0.38
circuit164.qasm,0.9374999999999993,0.07,0.13,0.18,0.19
circuit165.qasm,0.6169575214724774,0.42,0.35,0.41,0.31
circuit166.qasm,0.2645145654396024,0.26,0.31,0.24,0.44
circuit172.qasm,0.6691941738241587,0.4,0.37,0.37,0.45
circuit173.qasm,0.28661165235168196,0.29,0.36,0.4,0.31
circuit174.qasm,0.9267766952966361,0.08,0.16,0.2,0.17
circuit178.qasm,0.3167512177912839,0.28,0.34,0.32,0.43
circuit180.qasm,0.6127736628323779,0.43,0.45,0.41,0.51
circuit181.qasm,0.8535533905932733,0.23,0.2,0.2,0.28
circuit182.qasm,0.6066941738241588,0.34,0.39,0.51,0.52
circuit186.qasm,0.2591529130879206,0.34,0.29,0.31,0.32
circuit191.qasm,0.6874999999999998,0.3,0.37,0.36,0.46
circuit197.qasm,0.7180222988241589,0.33,0.46,0.42,0.37
circuit200.qasm,0.6639236956799499,0.29,0.45,0.34,0.37
circuit201.qasm,0.7271177172801987,0.21,0.29,0.37,0.37
circuit202.qasm,0.2995558261758411,0.34,0.44,0.48,0.41
circuit210.qasm,0.6483225107362383,0.32,0.41,0.45,0.43
circuit212.qasm,0.7163492924096972,0.31,0.41,0.39,0.35
circuit214.qasm,0.3986674785275226,0.43,0.45,0.44,0.49
circuit215.qasm,0.853553390593273,0.2,0.25,0.31,0.27
circuit216.qasm,0.8535533905932731,0.2,0.23,0.24,0.22
circuit224.qasm,0.294424152351682,0.25,0.29,0.23,0.36
circuit231.qasm,0.39330582617584103,0.33,0.46,0.49,0.43
circuit232.qasm,0.3777621358640101,0.33,0.32,0.41,0.37
circuit234.qasm,0.6727891356084676,0.37,0.29,0.33,0.41
circuit237.qasm,0.7567496955521787,0.25,0.31,0.3,0.37
circuit240.qasm,0.3719602554958907,0.47,0.41,0.47,0.38
circuit241.qasm,0.1288684844067267,0.21,0.17,0.24,0.31
circuit242.qasm,0.7196978151840594,0.28,0.39,0.37,0.31
circuit243.qasm,0.6249999999999997,0.44,0.33,0.5,0.46
circuit244.qasm,0.24777913087920445,0.3,0.31,0.23,0.32
