,Sampling p(meas = 1),# wrong decisions p5e-05,# wrong decisions p0.0001,# wrong decisions p0.00015,# wrong decisions p0.0002,# wrong decisions p0.0005,# wrong decisions p0.005
circuit345.qasm,0.6888404130879198,0.26,0.39,0.31,0.34,0.35,0.54
circuit526.qasm,0.07322330470336391,0.06,0.05,0.15,0.1,0.16,0.42
circuit340.qasm,0.31250000000000044,0.35,0.22,0.33,0.3,0.33,0.39
circuit326.qasm,0.34958555994371154,0.43,0.32,0.3,0.35,0.4,0.43
circuit703.qasm,0.827665042944955,0.18,0.18,0.16,0.18,0.2,0.43
circuit425.qasm,0.25000000000000044,0.2,0.28,0.36,0.27,0.22,0.47
circuit126.qasm,0.6993813693763383,0.29,0.31,0.31,0.33,0.32,0.48
circuit772.qasm,0.1464466094067267,0.15,0.17,0.18,0.21,0.13,0.31
circuit454.qasm,0.9305679560328751,0.08,0.09,0.09,0.07,0.08,0.45
circuit393.qasm,0.7461413801125765,0.26,0.28,0.32,0.22,0.31,0.43
circuit529.qasm,0.6584708691207957,0.35,0.35,0.26,0.31,0.37,0.41
circuit733.qasm,0.12500000000000056,0.13,0.14,0.18,0.11,0.22,0.34
circuit134.qasm,0.28488952738362483,0.25,0.32,0.33,0.27,0.31,0.56
circuit181.qasm,0.8535533905932733,0.13,0.11,0.14,0.14,0.16,0.44
circuit483.qasm,0.27458161413599064,0.25,0.27,0.28,0.31,0.28,0.44
circuit985.qasm,0.7651650429449547,0.28,0.21,0.28,0.25,0.23,0.42
circuit944.qasm,0.3400211661552938,0.35,0.35,0.28,0.38,0.39,0.44
circuit998.qasm,0.3719265759202986,0.41,0.36,0.34,0.4,0.35,0.48
circuit287.qasm,0.7156765759202981,0.16,0.28,0.31,0.36,0.32,0.52
circuit148.qasm,0.20312500000000072,0.26,0.18,0.2,0.2,0.2,0.43
circuit119.qasm,0.2919733047033635,0.28,0.25,0.23,0.32,0.31,0.44
circuit510.qasm,0.31138956543960217,0.28,0.26,0.31,0.38,0.36,0.52
circuit224.qasm,0.294424152351682,0.23,0.31,0.29,0.27,0.37,0.4
circuit608.qasm,0.3803616523516819,0.35,0.33,0.43,0.37,0.47,0.46
circuit009.qasm,0.1982233047033637,0.21,0.19,0.22,0.22,0.27,0.37
circuit971.qasm,0.25000000000000067,0.25,0.26,0.31,0.24,0.33,0.39
circuit890.qasm,0.7842560649285166,0.27,0.21,0.23,0.16,0.23,0.5
circuit306.qasm,0.6375515759202983,0.37,0.32,0.41,0.39,0.31,0.53
circuit726.qasm,0.3346307664876721,0.34,0.3,0.31,0.34,0.39,0.54
circuit697.qasm,0.3232233047033636,0.26,0.45,0.38,0.25,0.38,0.46
circuit741.qasm,0.15291869631880656,0.2,0.22,0.12,0.19,0.16,0.4
circuit155.qasm,0.6182099487954539,0.39,0.37,0.3,0.45,0.43,0.43
circuit601.qasm,0.7133883476483176,0.34,0.33,0.27,0.29,0.27,0.39
circuit004.qasm,0.6767766952966366,0.23,0.37,0.39,0.29,0.35,0.51
circuit640.qasm,0.6271216981404102,0.38,0.39,0.39,0.34,0.46,0.53
circuit869.qasm,0.6767766952966365,0.34,0.36,0.31,0.29,0.36,0.48
circuit321.qasm,0.6194757282719799,0.47,0.37,0.37,0.42,0.48,0.5
circuit339.qasm,0.10983495705504537,0.14,0.11,0.15,0.16,0.16,0.36
circuit197.qasm,0.7180222988241589,0.27,0.25,0.35,0.26,0.35,0.52
circuit212.qasm,0.7163492924096972,0.3,0.32,0.21,0.23,0.3,0.46
circuit824.qasm,0.25000000000000067,0.21,0.25,0.22,0.28,0.27,0.37
circuit417.qasm,0.6118258476483184,0.41,0.46,0.4,0.38,0.3,0.41
circuit871.qasm,0.6767766952966368,0.29,0.41,0.36,0.34,0.44,0.48
circuit718.qasm,0.3415291308792039,0.32,0.34,0.29,0.32,0.33,0.35
circuit499.qasm,0.9523398041922779,0.06,0.07,0.09,0.02,0.12,0.4
circuit017.qasm,0.17233495705504537,0.19,0.15,0.17,0.25,0.26,0.35
circuit318.qasm,0.7209708691207957,0.27,0.2,0.3,0.23,0.31,0.39
circuit018.qasm,0.35747936963188054,0.41,0.3,0.4,0.33,0.37,0.55
circuit038.qasm,0.3943831319696847,0.39,0.44,0.39,0.38,0.39,0.52
circuit789.qasm,0.6778184500097124,0.29,0.24,0.29,0.34,0.34,0.4
circuit394.qasm,0.38177146759962677,0.42,0.37,0.4,0.36,0.4,0.43
circuit899.qasm,0.3308058261758411,0.25,0.36,0.35,0.37,0.31,0.48
circuit201.qasm,0.7271177172801987,0.29,0.31,0.31,0.28,0.34,0.49
circuit435.qasm,0.6876626193763378,0.29,0.27,0.34,0.31,0.48,0.47
circuit591.qasm,0.6045685649285174,0.43,0.45,0.37,0.4,0.36,0.57
circuit078.qasm,0.8383883476483178,0.19,0.17,0.13,0.09,0.18,0.33
circuit121.qasm,0.3887293696318808,0.36,0.5,0.33,0.45,0.4,0.54
circuit580.qasm,0.12081614135990115,0.12,0.17,0.18,0.11,0.18,0.38
circuit651.qasm,0.6767766952966366,0.27,0.51,0.38,0.35,0.33,0.5
circuit752.qasm,0.25000000000000033,0.24,0.27,0.29,0.29,0.33,0.47
circuit308.qasm,0.6767766952966368,0.34,0.33,0.42,0.32,0.36,0.38
circuit548.qasm,0.20312500000000078,0.28,0.14,0.23,0.25,0.28,0.46
circuit180.qasm,0.6127736628323779,0.39,0.36,0.36,0.42,0.4,0.48
circuit564.qasm,0.25070388611955263,0.25,0.31,0.32,0.25,0.26,0.47
circuit406.qasm,0.8330266952966363,0.27,0.15,0.14,0.24,0.17,0.46
circuit256.qasm,0.9640388251536707,0.05,0.06,0.04,0.06,0.07,0.32
circuit072.qasm,0.3750000000000003,0.3,0.35,0.44,0.37,0.38,0.45
circuit908.qasm,0.25000000000000017,0.32,0.25,0.27,0.27,0.26,0.32
circuit165.qasm,0.6169575214724774,0.43,0.28,0.38,0.37,0.42,0.59
circuit630.qasm,0.713388347648318,0.28,0.23,0.28,0.28,0.22,0.56
circuit368.qasm,0.6559530854422786,0.34,0.3,0.37,0.41,0.35,0.55
circuit626.qasm,0.8090339780164373,0.19,0.11,0.17,0.17,0.19,0.43
circuit447.qasm,0.6996589780164375,0.29,0.3,0.34,0.36,0.38,0.36
circuit137.qasm,0.24463834764831893,0.2,0.26,0.25,0.24,0.24,0.39
circuit642.qasm,0.625,0.34,0.36,0.44,0.43,0.41,0.49
circuit978.qasm,0.6142766952966365,0.32,0.35,0.44,0.34,0.44,0.46
circuit409.qasm,0.3140367120398509,0.3,0.28,0.34,0.28,0.34,0.53
circuit996.qasm,0.32322330470336325,0.23,0.31,0.32,0.33,0.36,0.35
circuit358.qasm,0.3024666308792043,0.31,0.33,0.37,0.28,0.34,0.35
circuit398.qasm,0.6011699020961392,0.36,0.38,0.42,0.43,0.44,0.51
circuit276.qasm,0.3750000000000003,0.4,0.36,0.43,0.32,0.4,0.55
circuit125.qasm,0.1418701528627665,0.15,0.19,0.15,0.16,0.15,0.36
circuit736.qasm,0.27288228271980136,0.27,0.27,0.34,0.36,0.31,0.46
circuit917.qasm,0.7667354345603977,0.25,0.28,0.26,0.17,0.29,0.39
circuit486.qasm,0.6767766952966365,0.26,0.32,0.33,0.39,0.22,0.44
circuit787.qasm,0.7507851958077207,0.23,0.3,0.15,0.21,0.27,0.46
