,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,majority vote outcome
circuit345.qasm,74,3,0.6888404130879198,1,1
circuit526.qasm,6,3,0.07322330470336391,0,0
circuit340.qasm,35,6,0.31250000000000044,0,0
circuit326.qasm,43,4,0.34958555994371154,0,0
circuit703.qasm,82,1,0.827665042944955,1,1
circuit425.qasm,20,3,0.25000000000000044,0,0
circuit126.qasm,71,3,0.6993813693763383,1,1
circuit772.qasm,15,3,0.1464466094067267,0,0
circuit454.qasm,92,6,0.9305679560328751,1,1
circuit393.qasm,74,3,0.7461413801125765,1,1
circuit529.qasm,65,2,0.6584708691207957,1,1
circuit733.qasm,13,2,0.12500000000000056,0,0
circuit134.qasm,25,3,0.28488952738362483,0,0
circuit181.qasm,87,1,0.8535533905932733,1,1
circuit483.qasm,25,6,0.27458161413599064,0,0
circuit985.qasm,72,5,0.7651650429449547,1,1
circuit944.qasm,35,6,0.3400211661552938,0,0
circuit998.qasm,41,2,0.3719265759202986,0,0
circuit287.qasm,84,5,0.7156765759202981,1,1
circuit148.qasm,26,3,0.20312500000000072,0,0
circuit119.qasm,28,4,0.2919733047033635,0,0
circuit510.qasm,28,6,0.31138956543960217,0,0
circuit224.qasm,23,4,0.294424152351682,0,0
circuit608.qasm,35,3,0.3803616523516819,0,0
circuit009.qasm,21,4,0.1982233047033637,0,0
circuit971.qasm,25,1,0.25000000000000067,0,0
circuit890.qasm,73,4,0.7842560649285166,1,1
circuit306.qasm,63,3,0.6375515759202983,1,1
circuit726.qasm,34,2,0.3346307664876721,0,0
circuit697.qasm,26,1,0.3232233047033636,0,0
circuit741.qasm,20,7,0.15291869631880656,0,0
circuit155.qasm,61,4,0.6182099487954539,1,1
circuit601.qasm,66,3,0.7133883476483176,1,1
circuit004.qasm,77,2,0.6767766952966366,1,1
circuit640.qasm,62,3,0.6271216981404102,1,1
circuit869.qasm,66,4,0.6767766952966365,1,1
circuit321.qasm,53,2,0.6194757282719799,1,1
circuit339.qasm,14,5,0.10983495705504537,0,0
circuit197.qasm,73,7,0.7180222988241589,1,1
circuit212.qasm,70,4,0.7163492924096972,1,1
circuit824.qasm,21,6,0.25000000000000067,0,0
circuit417.qasm,59,4,0.6118258476483184,1,1
circuit871.qasm,71,3,0.6767766952966368,1,1
circuit718.qasm,32,2,0.3415291308792039,0,0
circuit499.qasm,94,1,0.9523398041922779,1,1
circuit017.qasm,19,10,0.17233495705504537,0,0
circuit318.qasm,73,5,0.7209708691207957,1,1
circuit018.qasm,41,3,0.35747936963188054,0,0
circuit038.qasm,39,4,0.3943831319696847,0,0
circuit789.qasm,71,2,0.6778184500097124,1,1
circuit394.qasm,42,1,0.38177146759962677,0,0
circuit899.qasm,25,3,0.3308058261758411,0,0
circuit201.qasm,71,4,0.7271177172801987,1,1
circuit435.qasm,71,3,0.6876626193763378,1,1
circuit591.qasm,57,3,0.6045685649285174,1,1
circuit078.qasm,81,0,0.8383883476483178,1,1
circuit121.qasm,36,5,0.3887293696318808,0,0
circuit580.qasm,12,4,0.12081614135990115,0,0
circuit651.qasm,73,2,0.6767766952966366,1,1
circuit752.qasm,24,5,0.25000000000000033,0,0
circuit308.qasm,66,4,0.6767766952966368,1,1
circuit548.qasm,28,3,0.20312500000000078,0,0
circuit180.qasm,61,5,0.6127736628323779,1,1
circuit564.qasm,25,1,0.25070388611955263,0,0
circuit406.qasm,73,3,0.8330266952966363,1,1
circuit256.qasm,95,1,0.9640388251536707,1,1
circuit072.qasm,30,4,0.3750000000000003,0,0
circuit908.qasm,32,1,0.25000000000000017,0,0
circuit165.qasm,57,5,0.6169575214724774,1,1
circuit630.qasm,72,3,0.713388347648318,1,1
circuit368.qasm,66,3,0.6559530854422786,1,1
circuit626.qasm,81,2,0.8090339780164373,1,1
circuit447.qasm,71,3,0.6996589780164375,1,1
circuit137.qasm,20,1,0.24463834764831893,0,0
circuit642.qasm,66,1,0.625,1,1
circuit978.qasm,68,2,0.6142766952966365,1,1
circuit409.qasm,30,2,0.3140367120398509,0,0
circuit996.qasm,23,0,0.32322330470336325,0,0
circuit358.qasm,31,2,0.3024666308792043,0,0
circuit398.qasm,64,2,0.6011699020961392,1,1
circuit276.qasm,40,1,0.3750000000000003,0,0
circuit125.qasm,15,0,0.1418701528627665,0,0
circuit736.qasm,27,2,0.27288228271980136,0,0
circuit917.qasm,75,3,0.7667354345603977,1,1
circuit486.qasm,74,1,0.6767766952966365,1,1
circuit787.qasm,77,1,0.7507851958077207,1,1
circuit543.qasm,68,1,0.6638325214724774,1,1
circuit624.qasm,80,3,0.7522208691207958,1,1
circuit003.qasm,79,2,0.7499999999999994,1,1
circuit959.qasm,40,2,0.37820344734950195,0,0
circuit832.qasm,69,4,0.635263347648318,1,1
circuit771.qasm,63,3,0.6489723898581565,1,1
circuit527.qasm,73,4,0.736270630368119,1,1
circuit022.qasm,32,3,0.32322330470336336,0,0
circuit095.qasm,66,3,0.669194173824159,1,1
circuit250.qasm,26,4,0.25000000000000044,0,0
circuit735.qasm,37,3,0.32188289161544276,0,0
circuit776.qasm,45,4,0.35865716334346287,0,0
circuit982.qasm,33,3,0.37120873926376163,0,0
circuit864.qasm,38,7,0.3553537607362391,0,0
