,Average wrong decisions,Proportion of failed instances (w=1),Proportion of failed instances (w=0.1),Proportion of failed instances (w=0.08),Proportion of failed instances (w=0.05),Test round failure rate
0.05,0.2975000000000001,0.0,0.0,0.0,0.0,0.0254
0.1,0.3062,0.0,0.0,0.0,0.0,0.046900000000000004
0.2,0.30639999999999995,0.02,0.02040816326530612,0.0,0.0,0.09630000000000001
0.3,0.32470000000000016,0.0,0.0,0.0,,0.1414
0.4,0.3200999999999999,0.0,,,,0.1972
0.5,0.33799999999999997,0.03,,,,0.2518
0.6,0.3358,0.02,,,,0.3003
0.7,0.3513999999999999,0.02,,,,0.3493
0.8,0.35570000000000007,0.02,,,,0.40380000000000005
0.9,0.3676000000000002,0.06,,,,0.4424
1.0,0.37060000000000004,0.06,,,,0.494
