,Sampling p(meas = 1),# wrong decisions p0.05,# wrong decisions p0.1,# wrong decisions p0.2,# wrong decisions p0.3,# wrong decisions p0.4,# wrong decisions p0.5,# wrong decisions p0.6,# wrong decisions p0.7,# wrong decisions p0.8,# wrong decisions p0.9,# wrong decisions p1.0
circuit000.qasm,0.34492779371158216,36.0,45.0,34.0,33.0,38.0,26.0,45.0,35.0,38.0,47.0,31.0
circuit001.qasm,0.6131662607362388,38.0,43.0,32.0,43.0,45.0,47.0,43.0,43.0,52.0,46.0,44.0
circuit003.qasm,0.7499999999999994,25.0,28.0,28.0,30.0,29.0,32.0,26.0,27.0,32.0,32.0,24.0
circuit004.qasm,0.6767766952966366,33.0,42.0,35.0,38.0,40.0,33.0,46.0,42.0,39.0,49.0,38.0
circuit006.qasm,0.9176237822087159,7.0,11.0,8.0,8.0,16.0,23.0,19.0,13.0,17.0,19.0,21.0
circuit009.qasm,0.1982233047033637,23.0,24.0,28.0,22.0,25.0,30.0,20.0,22.0,26.0,27.0,33.0
circuit011.qasm,0.6249999999999999,40.0,27.0,31.0,42.0,40.0,41.0,42.0,36.0,47.0,46.0,38.0
circuit017.qasm,0.17233495705504537,16.0,20.0,12.0,20.0,15.0,26.0,18.0,34.0,23.0,28.0,31.0
circuit018.qasm,0.35747936963188054,39.0,39.0,35.0,46.0,34.0,36.0,40.0,39.0,42.0,52.0,32.0
circuit022.qasm,0.32322330470336336,25.0,26.0,23.0,44.0,27.0,29.0,32.0,36.0,35.0,41.0,39.0
circuit026.qasm,0.190640783230886,13.0,25.0,23.0,23.0,25.0,20.0,34.0,16.0,23.0,20.0,32.0
circuit030.qasm,0.25000000000000044,25.0,29.0,18.0,30.0,30.0,30.0,39.0,37.0,42.0,36.0,41.0
circuit037.qasm,0.28661165235168196,29.0,31.0,34.0,22.0,23.0,31.0,28.0,33.0,42.0,36.0,36.0
circuit038.qasm,0.3943831319696847,43.0,39.0,40.0,43.0,44.0,52.0,40.0,45.0,48.0,41.0,42.0
circuit039.qasm,0.3071383476483189,24.0,28.0,31.0,34.0,39.0,44.0,39.0,44.0,44.0,43.0,44.0
circuit044.qasm,0.3996152937115823,43.0,38.0,34.0,41.0,46.0,41.0,39.0,45.0,43.0,36.0,48.0
circuit045.qasm,0.15280370705504515,16.0,21.0,23.0,19.0,21.0,23.0,22.0,28.0,23.0,31.0,20.0
circuit049.qasm,0.3383883476483188,44.0,24.0,28.0,31.0,41.0,32.0,37.0,39.0,32.0,35.0,39.0
circuit050.qasm,0.3857233047033629,35.0,43.0,36.0,45.0,46.0,47.0,48.0,41.0,42.0,50.0,51.0
circuit055.qasm,0.36741747852752255,37.0,40.0,33.0,44.0,26.0,37.0,41.0,37.0,32.0,33.0,45.0
circuit056.qasm,0.6379441738241589,29.0,33.0,30.0,33.0,43.0,52.0,40.0,44.0,33.0,36.0,24.0
circuit059.qasm,0.7499999999999996,28.0,28.0,32.0,34.0,28.0,24.0,33.0,30.0,26.0,28.0,23.0
circuit060.qasm,0.3416917502555425,28.0,34.0,39.0,34.0,35.0,36.0,40.0,39.0,40.0,38.0,48.0
circuit064.qasm,0.38281250000000017,33.0,38.0,35.0,36.0,40.0,45.0,32.0,46.0,41.0,50.0,47.0
circuit067.qasm,0.6010072827198008,33.0,36.0,45.0,41.0,30.0,40.0,46.0,48.0,42.0,39.0,44.0
circuit070.qasm,0.6075050033032217,40.0,43.0,41.0,48.0,38.0,53.0,53.0,42.0,45.0,56.0,50.0
circuit071.qasm,0.33126578323088574,31.0,38.0,36.0,35.0,43.0,44.0,37.0,39.0,30.0,30.0,46.0
circuit072.qasm,0.3750000000000003,27.0,34.0,41.0,34.0,46.0,46.0,42.0,45.0,41.0,52.0,32.0
circuit073.qasm,0.3232233047033634,34.0,37.0,42.0,38.0,34.0,26.0,33.0,41.0,39.0,46.0,42.0
circuit075.qasm,0.12500000000000078,17.0,14.0,15.0,19.0,20.0,22.0,15.0,24.0,29.0,25.0,28.0
circuit077.qasm,0.32322330470336325,39.0,25.0,31.0,38.0,32.0,37.0,34.0,35.0,38.0,43.0,46.0
circuit078.qasm,0.8383883476483178,19.0,19.0,18.0,19.0,8.0,16.0,16.0,27.0,22.0,27.0,31.0
circuit080.qasm,0.7354854345603978,29.0,28.0,27.0,31.0,35.0,38.0,37.0,26.0,29.0,32.0,29.0
circuit082.qasm,0.6006146848159402,41.0,44.0,38.0,38.0,44.0,39.0,34.0,48.0,38.0,43.0,43.0
circuit083.qasm,0.12500000000000078,17.0,17.0,10.0,15.0,13.0,17.0,12.0,16.0,21.0,24.0,21.0
circuit088.qasm,0.620053739104047,36.0,41.0,54.0,42.0,41.0,44.0,36.0,44.0,46.0,38.0,48.0
circuit089.qasm,0.6249999999999998,35.0,40.0,46.0,45.0,31.0,41.0,40.0,44.0,42.0,43.0,44.0
circuit093.qasm,0.33214623926376163,30.0,33.0,37.0,40.0,31.0,39.0,38.0,39.0,40.0,41.0,48.0
circuit094.qasm,0.38415291308792077,40.0,41.0,35.0,44.0,37.0,43.0,27.0,52.0,42.0,46.0,46.0
