,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,outcome
circuit908.qasm,59,81,0.9999999999999993,1,1
circuit842.qasm,29,87,0.14644660940672666,0,0
circuit146.qasm,23,70,6.106226635438361e-16,0,0
circuit704.qasm,47,77,0.25000000000000044,0,0
circuit984.qasm,38,81,0.14644660940672666,0,0
circuit426.qasm,67,81,0.8535533905932733,1,1
circuit190.qasm,22,87,5.551115123125783e-16,0,0
circuit871.qasm,34,80,6.661338147750939e-16,0,0
circuit188.qasm,38,86,0.1464466094067267,0,0
circuit750.qasm,23,75,2.220446049250313e-16,0,0
circuit328.qasm,67,79,0.8535533905932731,1,1
circuit275.qasm,35,82,0.2500000000000004,0,0
circuit309.qasm,46,84,0.25000000000000033,0,0
circuit513.qasm,43,83,0.2500000000000001,0,0
circuit969.qasm,22,86,2.220446049250313e-16,0,0
circuit583.qasm,62,78,0.7866116523516816,1,1
circuit483.qasm,55,80,0.8535533905932733,1,1
circuit326.qasm,72,80,0.8535533905932732,1,1
circuit319.qasm,26,83,6.106226635438361e-16,0,0
circuit278.qasm,59,79,0.6767766952966366,1,1
circuit706.qasm,42,81,7.771561172376096e-16,0,0
circuit558.qasm,54,88,0.8535533905932733,1,1
circuit358.qasm,53,85,0.8535533905932735,1,1
circuit394.qasm,32,76,2.220446049250313e-16,0,0
circuit682.qasm,79,83,0.9267766952966363,1,1
circuit035.qasm,28,80,2.220446049250313e-16,0,0
circuit503.qasm,45,78,0.2500000000000005,0,0
circuit812.qasm,42,88,0.14644660940672682,0,0
circuit934.qasm,28,83,0.02144660940672699,0,0
circuit660.qasm,30,87,7.771561172376096e-16,0,0
circuit211.qasm,65,78,0.8535533905932731,1,1
circuit540.qasm,47,84,8.326672684688674e-16,0,0
circuit359.qasm,38,73,0.14644660940672688,0,0
circuit001.qasm,61,79,0.8535533905932733,1,1
circuit115.qasm,53,84,0.8535533905932733,1,1
circuit519.qasm,60,83,0.6767766952966365,1,1
circuit978.qasm,51,84,0.7499999999999998,1,1
circuit385.qasm,61,90,0.8535533905932734,1,1
circuit782.qasm,54,82,6.661338147750939e-16,0,1
circuit822.qasm,33,78,0.14644660940672682,0,0
circuit121.qasm,53,83,0.7499999999999994,1,1
circuit091.qasm,51,83,0.3636262177912838,0,1
circuit131.qasm,76,83,0.9267766952966363,1,1
circuit062.qasm,44,85,0.375,0,0
circuit290.qasm,47,88,0.14644660940672655,0,0
circuit644.qasm,24,88,4.996003610813204e-16,0,0
circuit293.qasm,30,77,6.661338147750939e-16,0,0
circuit584.qasm,54,86,0.7499999999999999,1,1
circuit593.qasm,42,81,8.326672684688674e-16,0,0
circuit863.qasm,25,81,8.881784197001252e-16,0,0
circuit602.qasm,66,85,0.9999999999999991,1,1
circuit261.qasm,26,82,8.326672684688674e-16,0,0
circuit791.qasm,27,81,5.551115123125783e-16,0,0
circuit210.qasm,64,74,0.8535533905932731,1,1
circuit366.qasm,30,82,3.3306690738754696e-16,0,0
circuit436.qasm,67,81,0.9267766952966365,1,1
circuit000.qasm,57,86,0.32322330470336336,0,1
circuit813.qasm,66,85,0.8535533905932733,1,1
circuit604.qasm,52,82,0.8535533905932731,1,1
circuit997.qasm,54,86,0.713388347648318,1,1
circuit723.qasm,28,78,7.771561172376096e-16,0,0
circuit393.qasm,36,81,7.771561172376096e-16,0,0
circuit585.qasm,69,87,0.8535533905932732,1,1
circuit856.qasm,58,84,0.8535533905932732,1,1
circuit151.qasm,58,88,0.7499999999999996,1,1
circuit458.qasm,67,80,0.9999999999999996,1,1
circuit083.qasm,72,83,0.8535533905932733,1,1
circuit336.qasm,62,78,0.8017766952966364,1,1
circuit465.qasm,69,80,0.8535533905932733,1,1
circuit347.qasm,47,77,0.6767766952966365,1,0
circuit258.qasm,64,84,0.8901650429449548,1,1
circuit379.qasm,30,80,6.661338147750939e-16,0,0
circuit339.qasm,60,78,0.8535533905932733,1,1
circuit150.qasm,22,85,7.216449660063518e-16,0,0
circuit972.qasm,27,80,7.216449660063518e-16,0,0
circuit677.qasm,32,79,0.25000000000000056,0,0
circuit340.qasm,26,78,4.440892098500626e-16,0,0
circuit781.qasm,38,89,0.21338834764831882,0,0
circuit372.qasm,39,81,0.25000000000000033,0,0
circuit269.qasm,30,78,6.661338147750939e-16,0,0
circuit018.qasm,49,79,0.6767766952966368,1,0
circuit136.qasm,45,93,0.9267766952966363,1,0
circuit695.qasm,31,81,0.07322330470336352,0,0
circuit116.qasm,34,84,0.14644660940672666,0,0
circuit287.qasm,63,81,0.8535533905932732,1,1
circuit110.qasm,57,81,0.7499999999999996,1,1
circuit912.qasm,27,78,8.326672684688674e-16,0,0
circuit109.qasm,56,78,0.8535533905932733,1,1
circuit494.qasm,64,84,0.8535533905932733,1,1
circuit325.qasm,24,77,5.551115123125783e-16,0,0
circuit111.qasm,49,78,0.32322330470336336,0,0
circuit382.qasm,71,84,0.9999999999999993,1,1
circuit402.qasm,54,85,0.7499999999999996,1,1
circuit933.qasm,39,82,0.25000000000000067,0,0
circuit672.qasm,31,83,0.14644660940672688,0,0
circuit386.qasm,50,81,0.6767766952966368,1,0
circuit903.qasm,20,79,2.220446049250313e-16,0,0
circuit759.qasm,39,83,0.14644660940672682,0,0
circuit081.qasm,67,89,0.8535533905932733,1,1
circuit939.qasm,29,80,0.1464466094067267,0,0
